rank,name,team,conference,position,class_year,height,season,games_played,ortg,pct_poss,efg_pct,ts_pct,three_pt_rate,ft_rate,ppg,rpg,apg,ast_rate,to_rate,or_pct,dr_pct,fc_per_40,minutes_pct
31,Maxime Raynaud,Stanford,,,Sr,7-1,2025,0,110.1,30.2,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0
32,Jalen Jackson,Purdue Fort Wayne,,,Jr,6-2,2025,0,110.0,31.4,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Marquel Sutton,Nebraska Omaha,,,Sr,6-8,2025,0,109.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Sincere Parker,McNeese,,,Jr,6-3,2025,0,109.6,29.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0
35,Ray'Sean Taylor,SIUE,,,Sr,6-1,2025,0,109.2,29.8,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Jaden Daughtry,Indiana St.,,,So,6-7,2025,0,109.1,29.8,0.0,0.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Chase Forte,South Dakota,,,Sr,6-4,2025,0,109.1,33.5,0.0,0.0,30.3,61.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Jaden Seymour,East Tennessee St.,,,Sr,6-8,2025,0,108.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Jordan Marsh,UNC Asheville,,,So,5-10,2025,0,107.9,34.3,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Trent McLaughlin,Northern Arizona,,,Sr,6-6,2025,0,107.8,29.3,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8
41,Milos Ilic,Loyola MD,,,Sr,6-10,2025,0,107.4,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0
42,Markus Burton,Notre Dame,,,So,6-0,2025,0,107.4,33.4,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Reed Bailey,Davidson,,,Jr,6-10,2025,0,107.4,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,TK Simpkins,Elon,,,Jr,6-4,2025,0,107.2,29.0,0.0,0.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Jacob Holt,Sacramento St.,,,Sr,6-10,2025,0,107.2,30.3,0.0,0.0,0.0,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Colby Duggan,Campbell,,,So,6-7,2025,0,107.2,0.0,0.0,0.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Terri Miller,Portland St.,,,Sr,6-8,2025,0,106.9,29.5,0.0,0.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Jamir Watkins,Florida St.,,,Sr,6-7,2025,0,105.7,30.2,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Jaron Pierre,Jacksonville St.,,,Sr,6-5,2025,0,105.5,30.5,0.0,0.0,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,94.8
